genus	phylum	class
Abyssisolibacter	Bacillota	Clostridia
Acidaminococcus	Bacillota	Negativicutes
Acidisoma	Pseudomonadota	Alphaproteobacteria
Acidithiobacillus	Pseudomonadota	Acidithiobacillia
Acinetobacter	Pseudomonadota	Gammaproteobacteria
Aeromonas	Pseudomonadota	Gammaproteobacteria
Aggregatibacter	Pseudomonadota	Gammaproteobacteria
Alcanivorax	Pseudomonadota	Gammaproteobacteria
Alicyclobacillus	Bacillota	Bacilli
Aliikangiella	Pseudomonadota	Gammaproteobacteria
Aliivibrio	Pseudomonadota	Gammaproteobacteria
Allobrachymonas	Pseudomonadota	Betaproteobacteria
Alteromonadaceae	Pseudomonadota	Gammaproteobacteria
Alteromonas	Pseudomonadota	Gammaproteobacteria
Aquabacterium	Pseudomonadota	Betaproteobacteria
Aquitalea	Pseudomonadota	Betaproteobacteria
Archaeoglobus	Methanobacteriota	Archaeoglobi
Aurantiacibacter	Pseudomonadota	Alphaproteobacteria
Azoarcus	Pseudomonadota	Betaproteobacteria
Bacillaceae	Bacillota	Bacilli
Bacillus	Bacillota	Bacilli
Bacteria	unclassified	unclassified
Boseongicola	Pseudomonadota	Alphaproteobacteria
Brevundimonas	Pseudomonadota	Alphaproteobacteria
Burkholderia	Pseudomonadota	Betaproteobacteria
Caballeronia	Pseudomonadota	Betaproteobacteria
Candidatus	unclassified	unclassified
Cardiobacterium	Pseudomonadota	Gammaproteobacteria
Caryophanales	Bacillota	Bacilli
Castellaniella	Pseudomonadota	Betaproteobacteria
Caulobacter	Pseudomonadota	Alphaproteobacteria
Cellvibrio	Pseudomonadota	Gammaproteobacteria
Centipeda	Bacillota	Negativicutes
Colwellia	Pseudomonadota	Gammaproteobacteria
Comamonas	Pseudomonadota	Betaproteobacteria
Croceicoccus	Pseudomonadota	Alphaproteobacteria
Cupriavidus	Pseudomonadota	Betaproteobacteria
Curvibacter	Pseudomonadota	Betaproteobacteria
Deferrivibrio	Deferribacterota	Deferribacteres
Denitratimonas	Pseudomonadota	Gammaproteobacteria
Dethiosulfatibacter	Bacillota	Tissierellia
Devosia	Pseudomonadota	Alphaproteobacteria
Dongibacter	Bacillota	Negativicutes
Dyella	Pseudomonadota	Gammaproteobacteria
Ectobacillus	Bacillota	Bacilli
Eikenella	Pseudomonadota	Betaproteobacteria
Endozoicomonas	Pseudomonadota	Gammaproteobacteria
Enterobacterales	Pseudomonadota	Gammaproteobacteria
Enterobacteriaceae	Pseudomonadota	Gammaproteobacteria
Erythrobacter	Pseudomonadota	Alphaproteobacteria
Erythrobacter/Porphyrobacter	unclassified	unclassified
Escherichia	Pseudomonadota	Gammaproteobacteria
Faucicola	Pseudomonadota	Gammaproteobacteria
Ferrimonas	Pseudomonadota	Gammaproteobacteria
Fluviibacter	Pseudomonadota	Betaproteobacteria
Francisella	Pseudomonadota	Gammaproteobacteria
Frateuria	Pseudomonadota	Gammaproteobacteria
Fusibacter	Bacillota	Clostridia
Gallaecimonas	Pseudomonadota	Gammaproteobacteria
Glaciimonas	Pseudomonadota	Betaproteobacteria
Gluconobacter	Pseudomonadota	Alphaproteobacteria
Haemophilus	Pseudomonadota	Gammaproteobacteria
Hahella	Pseudomonadota	Gammaproteobacteria
Halomonadaceae	Pseudomonadota	Gammaproteobacteria
Halopseudomonas	Pseudomonadota	Gammaproteobacteria
Heliomicrobium	Bacillota	Clostridia
Herbaspirillum	Pseudomonadota	Betaproteobacteria
Hydrogenophaga	Pseudomonadota	Betaproteobacteria
Hydrogenovibrio	Pseudomonadota	Gammaproteobacteria
Hyphomonas	Pseudomonadota	Alphaproteobacteria
Ignatzschineria	Pseudomonadota	Gammaproteobacteria
Janibacter	Actinomycetota	Actinomycetes
Kingella	Pseudomonadota	Betaproteobacteria
Kistimonas	Pseudomonadota	Gammaproteobacteria
Komagataeibacter	Pseudomonadota	Alphaproteobacteria
Labrys	Pseudomonadota	Alphaproteobacteria
Legionella	Pseudomonadota	Gammaproteobacteria
Leptothrix	Pseudomonadota	Betaproteobacteria
Limimaricola	Pseudomonadota	Alphaproteobacteria
Listeria	Bacillota	Bacilli
Litoreibacter	Pseudomonadota	Alphaproteobacteria
Luteimonas	Pseudomonadota	Gammaproteobacteria
Lysinibacillus	Bacillota	Bacilli
Lysobacter	Pseudomonadota	Gammaproteobacteria
Macrococcus	Bacillota	Bacilli
Magnetovibrio	Pseudomonadota	Alphaproteobacteria
Mammaliicoccus	Bacillota	Bacilli
Marinagarivorans	Pseudomonadota	Gammaproteobacteria
Marinomonas	Pseudomonadota	Gammaproteobacteria
Marisediminitalea	Pseudomonadota	Gammaproteobacteria
Methanothermobacter	Methanobacteriota	Methanobacteria
Moraxella	Pseudomonadota	Gammaproteobacteria
Moraxellaceae	Pseudomonadota	Gammaproteobacteria
Moritella	Pseudomonadota	Gammaproteobacteria
Motiliproteus	Pseudomonadota	Gammaproteobacteria
Mycetohabitans	Pseudomonadota	Betaproteobacteria
Nanoarchaeum	Nanobdellota	Candidatus Nanoarchaeia
Neobacillus	Bacillota	Bacilli
Neomoorella	Bacillota	Clostridia
Neorhizobium	Pseudomonadota	Alphaproteobacteria
Niallia	Bacillota	Bacilli
Nitrosomonas	Pseudomonadota	Betaproteobacteria
Novosphingobium	Pseudomonadota	Alphaproteobacteria
Oceanospirillum	Pseudomonadota	Gammaproteobacteria
Ottowia	Pseudomonadota	Betaproteobacteria
Oxalicibacterium	Pseudomonadota	Betaproteobacteria
Paenalcaligenes	Pseudomonadota	Betaproteobacteria
Paenibacillus	Bacillota	Bacilli
Paenisporosarcina	Bacillota	Bacilli
Pampinifervens	Aquificota	Aquificia
Pantoea	Pseudomonadota	Gammaproteobacteria
Paraburkholderia	Pseudomonadota	Betaproteobacteria
Paracidovorax	Pseudomonadota	Betaproteobacteria
Paraglaciecola	Pseudomonadota	Gammaproteobacteria
Parasphingopyxis	Pseudomonadota	Alphaproteobacteria
Parasphingorhabdus	Pseudomonadota	Alphaproteobacteria
Parasutterella	Pseudomonadota	Betaproteobacteria
Parazoarcus	Pseudomonadota	Betaproteobacteria
Parendozoicomonas	Pseudomonadota	Gammaproteobacteria
Pasteurella	Pseudomonadota	Gammaproteobacteria
Pasteurellaceae	Pseudomonadota	Gammaproteobacteria
Pelagerythrobacter	Pseudomonadota	Alphaproteobacteria
Pelovirga	Thermodesulfobacteriota	Desulfuromonadia
Perlucidibaca	Pseudomonadota	Gammaproteobacteria
Phascolarctobacterium	Bacillota	Negativicutes
Photobacterium	Pseudomonadota	Gammaproteobacteria
Phyllobacteriaceae	Pseudomonadota	Alphaproteobacteria
Planktotalea	Pseudomonadota	Alphaproteobacteria
Polaromonas	Pseudomonadota	Betaproteobacteria
Pollutimonas	Pseudomonadota	Betaproteobacteria
Proteus	Pseudomonadota	Gammaproteobacteria
Providencia	Pseudomonadota	Gammaproteobacteria
Pseudoalteromonas	Pseudomonadota	Gammaproteobacteria
Pseudoflavonifractor	Bacillota	Clostridia
Pseudomonadaceae	Pseudomonadota	Gammaproteobacteria
Pseudomonas	Pseudomonadota	Gammaproteobacteria
Pseudooceanicola	Pseudomonadota	Alphaproteobacteria
Pseudoselenomonas	Bacillota	Negativicutes
Pseudothermotoga	Thermotogota	Thermotogae
Pseudoxanthomonas	Pseudomonadota	Gammaproteobacteria
Psychrobacter	Pseudomonadota	Gammaproteobacteria
Psychromonas	Pseudomonadota	Gammaproteobacteria
Psychrosphaera	Pseudomonadota	Gammaproteobacteria
Pusillimonas	Pseudomonadota	Betaproteobacteria
Pyrobaculum	Thermoproteota	Thermoprotei
Qipengyuania	Pseudomonadota	Alphaproteobacteria
Quisquiliibacterium	Pseudomonadota	Betaproteobacteria
Ramlibacter	Pseudomonadota	Betaproteobacteria
Reyranella	Pseudomonadota	Alphaproteobacteria
Rheinheimera	Pseudomonadota	Gammaproteobacteria
Rhizobacter	Pseudomonadota	Betaproteobacteria
Rhizobiaceae	Pseudomonadota	Alphaproteobacteria
Rhodanobacter	Pseudomonadota	Gammaproteobacteria
Rhodoferax	Pseudomonadota	Betaproteobacteria
Robertmurraya	Bacillota	Bacilli
