tip_key	organism	genus
AAL63028.1	Pyrobaculum aerophilum	Pyrobaculum
NP_069198.1	Archaeoglobus fulgidus	Archaeoglobus
NP_341755.1	Sulfolobus solfataricus	Sulfolobus
NP_963332.1	Nanoarchaeum equitans	Nanoarchaeum
WP_003535434.1	Sinorhizobium/Ensifer group	Sinorhizobium/Ensifer
WP_004152891.1	Bacteria	Bacteria
WP_004212587.1	Sphingomonadales	Sphingomonadales
WP_005030511.1	Acinetobacter	Acinetobacter
WP_005097347.1	Acinetobacter	Acinetobacter
WP_006690919.1	Centipeda	Centipeda
WP_007902656.1	Bacteria	Bacteria
WP_009350513.1	Selenomonadaceae	Selenomonadaceae
WP_009441885.1	Selenomonadaceae	Selenomonadaceae
WP_009442889.1	Selenomonadaceae	Selenomonadaceae
WP_009453400.1	Leptothrix	Leptothrix
WP_011275895.1	Staphylococcus	Staphylococcus
WP_014168311.1	Enterobacteriaceae	Enterobacteriaceae
WP_014424739.1	Pseudoselenomonas	Pseudoselenomonas
WP_014464241.1	Alicyclobacillus	Alicyclobacillus
WP_017227929.1	Cupriavidus sp.	Cupriavidus
WP_017724345.1	Staphylococcus sp.	Staphylococcus
WP_019542097.1	Dongibacter bovis	Dongibacter
WP_019911399.1	unclassified	unclassified
WP_021170641.1	Sporomusa	Sporomusa
WP_021694502.1	Limimaricola	Limimaricola
WP_030029998.1	Bacillus cereus	Bacillus
WP_031568600.1	Rheinheimera	Rheinheimera
WP_033169131.1	Selenomonadaceae	Selenomonadaceae
WP_034795158.1	Enterobacterales	Enterobacterales
WP_037354417.1	Selenomonadaceae	Selenomonadaceae
WP_045240544.1	Cupriavidus sp.	Cupriavidus
WP_047496328.1	Sphaerotilaceae	Sphaerotilaceae
WP_047502530.1	Sphaerotilaceae	Sphaerotilaceae
WP_050716411.1	Ottowia	Ottowia
WP_053100337.1	Thiopseudomonas	Thiopseudomonas
WP_054141683.1	unclassified	unclassified
WP_054937653.1	Neomoorella	Neomoorella
WP_055464247.1	Marinomonas	Marinomonas
WP_056469939.1	Rhizobacter	Rhizobacter
WP_056655222.1	Rhizobacter	Rhizobacter
WP_059234622.1	Burkholderia cepacia	Burkholderia
WP_061237443.1	Pseudomonadaceae	Pseudomonadaceae
WP_065486652.1	Bacillus	Bacillus
WP_066252897.1	Bacillaceae	Bacillaceae
WP_067466645.1	Qipengyuania	Qipengyuania
WP_069872771.1	unclassified	unclassified
WP_070183887.1	Bacillus cereus	Bacillus
WP_072191040.1	Bacillus thuringiensis	Bacillus
WP_074515872.1	Selenomonas sp.	Selenomonas
WP_075445613.1	Pseudoselenomonas	Pseudoselenomonas
WP_083355553.1	Pseudomonas	Pseudomonas
WP_086195493.1	Acinetobacter	Acinetobacter
WP_086210155.1	Acinetobacter	Acinetobacter
WP_086481701.1	Oceanospirillum	Oceanospirillum
WP_090262978.1	Pseudomonas panipatensis	Pseudomonas
WP_090695847.1	Bacillus	Bacillus
WP_095109354.1	Pseudomonas	Pseudomonas
WP_098414594.1	unclassified	unclassified
WP_100536448.1	Caryophanales	Caryophanales
WP_105935156.1	Alteromonadaceae	Alteromonadaceae
WP_108950774.1	Parazoarcus	Parazoarcus
WP_116320393.1	Cupriavidus	Cupriavidus
WP_119614606.1	Staphylococcus sp.	Staphylococcus
WP_125432228.1	Stenotrophomonas	Stenotrophomonas
WP_126837977.1	unclassified	unclassified
