prediction	best_anchor	tm_score	is_hfq_fold
bioa_WP_379210080_1	1U1S	0.984	YES
bioa_WP_438616890_1	1HK9	0.982	YES
bioa_WP_482575343_1	1U1S	1.009	YES
bioa_WP_484619985_1	1HK9	1.004	YES
bioa_WP_485946938_1	1U1S	0.998	YES
bioa_WP_487154672_1	1HK9	1.008	YES
bioa_WP_488172342_1	3GIB	1.001	YES
bioa_WP_489212495_1	1HK9	0.998	YES
bioa_WP_490070440_1	1HK9	0.998	YES
bioa_WP_490238672_1	1U1S	1.003	YES
